year,country,gdp_tier,industry,company_size,num_employees,rd_spend_pct_gdp,internet_penetration_pct,digital_maturity_index,ai_adoption_rate,adoption_level,prior_year_adoption_rate,adoption_momentum,rolling_3yr_avg,years_since_2018
2020,Australia,3,Financial Services,Large,20150,2.33,93.9,93.5,67.7,High,63.18,4.520000000000003,51.965,2
2021,Australia,3,Financial Services,Large,28459,2.26,99.0,88.7,80.87,High,67.7,13.170000000000002,57.21,3
2022,Australia,3,Financial Services,Large,37746,2.69,99.0,97.5,75.59,High,80.87,-5.280000000000001,70.58333333333333,4
2023,Australia,3,Financial Services,Large,19581,2.72,99.0,72.2,87.27,High,75.59,11.679999999999993,74.72,5
2024,Australia,3,Financial Services,Large,49076,2.14,99.0,86.6,97.0,High,87.27,9.730000000000004,81.24333333333334,6
2025,Australia,3,Financial Services,Large,44278,2.64,92.1,84.0,97.0,High,97.0,0.0,86.62,7
2018,Australia,3,Financial Services,Medium,799,3.24,98.9,96.6,30.41,Medium,30.41,0.0,30.41,0
2019,Australia,3,Financial Services,Medium,827,2.8,82.1,100.0,39.48,Medium,30.41,9.069999999999997,30.41,1
2020,Australia,3,Financial Services,Medium,670,2.8,76.0,92.7,46.07,Medium,39.48,6.590000000000003,34.945,2
2021,Australia,3,Financial Services,Medium,829,2.56,80.3,85.6,54.42,Medium,46.07,8.350000000000001,38.65333333333333,3
2022,Australia,3,Financial Services,Medium,533,3.16,99.0,84.6,55.65,High,54.42,1.2299999999999969,46.656666666666666,4
2023,Australia,3,Financial Services,Medium,660,2.72,94.3,87.0,72.98,High,55.65,17.330000000000005,52.04666666666666,5
2024,Australia,3,Financial Services,Medium,970,2.87,99.0,94.9,75.85,High,72.98,2.8699999999999903,61.01666666666667,6
2025,Australia,3,Financial Services,Medium,458,2.62,92.2,89.1,83.77,High,75.85,7.920000000000002,68.16,7
2018,Australia,3,Financial Services,Small,74,2.8,99.0,100.0,17.48,Low,17.48,0.0,17.48,0
2019,Australia,3,Financial Services,Small,61,1.98,90.6,87.9,29.37,Low,17.48,11.89,17.48,1
2020,Australia,3,Financial Services,Small,19,2.61,95.8,93.8,41.71,Medium,29.37,12.34,23.425,2
2021,Australia,3,Financial Services,Small,36,2.61,96.4,85.2,34.61,Medium,41.71,-7.100000000000001,29.52,3
2022,Australia,3,Financial Services,Small,26,2.09,99.0,95.3,48.28,Medium,34.61,13.670000000000002,35.23,4
2023,Australia,3,Financial Services,Small,6,2.66,94.6,95.9,48.05,Medium,48.28,-0.23000000000000398,41.53333333333333,5
2024,Australia,3,Financial Services,Small,96,2.35,97.6,97.6,51.66,Medium,48.05,3.6099999999999994,43.64666666666667,6
2025,Australia,3,Financial Services,Small,36,2.63,99.0,97.4,72.95,High,51.66,21.290000000000006,49.330000000000005,7
2018,Australia,3,Gaming,Large,48564,2.65,91.7,93.2,54.34,Medium,54.34,0.0,54.34,0
2019,Australia,3,Gaming,Large,21437,2.19,99.0,96.8,59.81,High,54.34,5.469999999999999,54.34,1
2020,Australia,3,Gaming,Large,1900,2.94,99.0,98.3,57.77,High,59.81,-2.039999999999999,57.075,2
2021,Australia,3,Gaming,Large,2921,2.59,99.0,85.8,79.62,High,57.77,21.85,57.30666666666667,3
2022,Australia,3,Gaming,Large,18905,2.68,99.0,82.8,86.28,High,79.62,6.659999999999997,65.73333333333333,4
2023,Australia,3,Gaming,Large,29991,2.46,99.0,96.0,85.47,High,86.28,-0.8100000000000023,74.55666666666667,5
2024,Australia,3,Gaming,Large,1735,2.46,78.7,100.0,92.26,High,85.47,6.790000000000006,83.79,6
2025,Australia,3,Gaming,Large,11472,2.91,79.3,73.3,97.0,High,92.26,4.739999999999995,88.00333333333333,7
2018,Australia,3,Gaming,Medium,743,2.64,94.8,100.0,33.33,Medium,33.33,0.0,33.33,0
2019,Australia,3,Gaming,Medium,660,2.43,84.7,71.9,50.23,Medium,33.33,16.9,33.33,1
2020,Australia,3,Gaming,Medium,176,2.27,99.0,98.6,47.87,Medium,50.23,-2.3599999999999994,41.78,2
2021,Australia,3,Gaming,Medium,386,2.53,94.9,93.1,64.16,High,47.87,16.29,43.81,3
2022,Australia,3,Gaming,Medium,987,2.8,99.0,100.0,56.26,High,64.16,-7.899999999999999,54.086666666666666,4
2023,Australia,3,Gaming,Medium,607,2.46,94.4,91.2,66.03,High,56.26,9.770000000000003,56.096666666666664,5
2024,Australia,3,Gaming,Medium,815,2.19,99.0,89.6,77.65,High,66.03,11.620000000000005,62.15,6
2025,Australia,3,Gaming,Medium,174,2.35,99.0,100.0,83.42,High,77.65,5.769999999999996,66.64666666666666,7
2018,Australia,3,Gaming,Small,43,2.44,90.3,79.2,18.77,Low,18.77,0.0,18.77,0
2019,Australia,3,Gaming,Small,99,2.16,98.5,100.0,30.44,Medium,18.77,11.670000000000002,18.77,1
2020,Australia,3,Gaming,Small,44,2.66,99.0,79.0,34.51,Medium,30.44,4.069999999999997,24.605,2
2021,Australia,3,Gaming,Small,39,2.58,99.0,87.1,47.13,Medium,34.51,12.620000000000005,27.906666666666666,3
2022,Australia,3,Gaming,Small,44,2.16,94.3,94.5,51.73,Medium,47.13,4.599999999999994,37.36000000000001,4
2023,Australia,3,Gaming,Small,37,2.85,99.0,97.7,54.42,Medium,51.73,2.690000000000005,44.45666666666667,5
2024,Australia,3,Gaming,Small,7,2.92,92.9,92.7,59.84,High,54.42,5.420000000000002,51.093333333333334,6
2025,Australia,3,Gaming,Small,44,2.39,99.0,90.7,72.79,High,59.84,12.950000000000003,55.330000000000005,7
2018,Australia,3,Government,Large,31229,2.95,99.0,84.7,24.88,Low,24.88,0.0,24.88,0
2019,Australia,3,Government,Large,39503,2.92,91.4,92.1,27.62,Low,24.88,2.740000000000002,24.88,1
2020,Australia,3,Government,Large,22539,2.64,99.0,78.3,40.87,Medium,27.62,13.249999999999996,26.25,2
2021,Australia,3,Government,Large,45810,2.57,99.0,82.8,36.26,Medium,40.87,-4.609999999999999,31.123333333333335,3
2022,Australia,3,Government,Large,2677,2.28,96.7,72.1,41.26,Medium,36.26,5.0,34.916666666666664,4
2023,Australia,3,Government,Large,48881,2.26,99.0,72.8,48.1,Medium,41.26,6.840000000000003,39.46333333333333,5
2024,Australia,3,Government,Large,11030,2.64,96.7,94.3,72.1,High,48.1,23.999999999999993,41.87333333333333,6
2025,Australia,3,Government,Large,11097,2.36,99.0,87.6,75.38,High,72.1,3.280000000000001,53.81999999999999,7
2018,Australia,3,Government,Medium,766,2.48,99.0,74.3,9.35,Low,9.35,0.0,9.35,0
2019,Australia,3,Government,Medium,996,2.36,99.0,72.6,10.1,Low,9.35,0.75,9.35,1
2020,Australia,3,Government,Medium,498,2.87,99.0,82.8,29.23,Low,10.1,19.130000000000003,9.725,2
2021,Australia,3,Government,Medium,158,2.43,99.0,93.4,39.07,Medium,29.23,9.84,16.226666666666667,3
2022,Australia,3,Government,Medium,975,2.41,99.0,92.0,35.33,Medium,39.07,-3.740000000000002,26.133333333333336,4
2023,Australia,3,Government,Medium,985,2.31,97.4,84.4,41.28,Medium,35.33,5.950000000000003,34.54333333333333,5
2024,Australia,3,Government,Medium,845,2.68,99.0,88.2,63.49,High,41.28,22.21,38.56,6
2025,Australia,3,Government,Medium,464,2.01,99.0,86.0,64.56,High,63.49,1.0700000000000003,46.70000000000001,7
2018,Australia,3,Government,Small,54,2.82,98.7,78.7,2.0,Low,2.0,0.0,2.0,0
2019,Australia,3,Government,Small,19,2.67,87.8,90.2,4.78,Low,2.0,2.7800000000000002,2.0,1
2020,Australia,3,Government,Small,64,3.0,99.0,79.9,19.78,Low,4.78,15.0,3.39,2
2021,Australia,3,Government,Small,44,2.71,94.0,63.9,27.14,Low,19.78,7.359999999999999,8.853333333333333,3
2022,Australia,3,Government,Small,62,2.34,89.9,81.2,19.91,Low,27.14,-7.23,17.233333333333334,4
2023,Australia,3,Government,Small,25,2.27,92.3,70.7,41.82,Medium,19.91,21.91,22.276666666666667,5
2024,Australia,3,Government,Small,50,2.99,90.1,96.3,46.09,Medium,41.82,4.270000000000003,29.623333333333335,6
2025,Australia,3,Government,Small,55,2.5,99.0,97.5,58.44,High,46.09,12.349999999999994,35.940000000000005,7
2018,Australia,3,Healthcare,Large,17834,2.9,95.5,100.0,51.36,Medium,51.36,0.0,51.36,0
2019,Australia,3,Healthcare,Large,5734,2.77,92.4,100.0,50.96,Medium,51.36,-0.3999999999999986,51.36,1
2020,Australia,3,Healthcare,Large,48220,2.75,93.1,79.8,69.94,High,50.96,18.979999999999997,51.16,2
2021,Australia,3,Healthcare,Large,23172,2.77,99.0,86.2,71.84,High,69.94,1.9000000000000057,57.419999999999995,3
2022,Australia,3,Healthcare,Large,28151,2.52,94.9,97.3,71.29,High,71.84,-0.5499999999999972,64.24666666666667,4
2023,Australia,3,Healthcare,Large,16322,2.15,99.0,98.9,92.49,High,71.29,21.19999999999999,71.02333333333333,5
2024,Australia,3,Healthcare,Large,40047,2.51,91.9,86.3,91.03,High,92.49,-1.4599999999999937,78.54,6
2025,Australia,3,Healthcare,Large,5936,2.41,99.0,85.1,97.0,High,91.03,5.969999999999999,84.93666666666667,7
2018,Australia,3,Healthcare,Medium,181,2.59,99.0,99.0,31.78,Medium,31.78,0.0,31.78,0
2019,Australia,3,Healthcare,Medium,876,3.33,99.0,73.1,36.86,Medium,31.78,5.079999999999998,31.78,1
2020,Australia,3,Healthcare,Medium,405,2.58,99.0,97.3,44.2,Medium,36.86,7.340000000000003,34.32,2
2021,Australia,3,Healthcare,Medium,292,2.03,99.0,100.0,59.52,High,44.2,15.32,37.61333333333334,3
2022,Australia,3,Healthcare,Medium,774,2.69,99.0,83.3,55.88,High,59.52,-3.6400000000000006,46.86000000000001,4
2023,Australia,3,Healthcare,Medium,103,2.52,97.1,100.0,68.72,High,55.88,12.839999999999996,53.20000000000001,5
2024,Australia,3,Healthcare,Medium,195,2.57,99.0,92.9,78.0,High,68.72,9.280000000000001,61.373333333333335,6
2025,Australia,3,Healthcare,Medium,247,2.92,99.0,86.8,78.6,High,78.0,0.5999999999999943,67.53333333333333,7
2018,Australia,3,Healthcare,Small,90,3.2,93.5,94.4,14.67,Low,14.67,0.0,14.67,0
2019,Australia,3,Healthcare,Small,65,2.37,97.0,82.4,17.75,Low,14.67,3.08,14.67,1
2020,Australia,3,Healthcare,Small,46,2.12,95.2,86.6,19.26,Low,17.75,1.5100000000000016,16.21,2
2021,Australia,3,Healthcare,Small,41,2.79,99.0,88.7,43.93,Medium,19.26,24.669999999999998,17.22666666666667,3
2022,Australia,3,Healthcare,Small,30,2.22,99.0,90.2,42.51,Medium,43.93,-1.4200000000000017,26.98,4
2023,Australia,3,Healthcare,Small,7,2.71,99.0,86.1,47.44,Medium,42.51,4.93,35.23333333333333,5
2024,Australia,3,Healthcare,Small,70,2.47,99.0,100.0,60.97,High,47.44,13.530000000000001,44.626666666666665,6
2025,Australia,3,Healthcare,Small,31,2.88,99.0,100.0,71.56,High,60.97,10.590000000000003,50.306666666666665,7
2018,Australia,3,Legal,Large,8636,2.37,91.6,88.0,27.36,Low,27.36,0.0,27.36,0
2019,Australia,3,Legal,Large,31398,2.35,95.8,73.7,31.84,Medium,27.36,4.48,27.36,1
2020,Australia,3,Legal,Large,23134,2.78,93.7,97.3,49.79,Medium,31.84,17.95,29.6,2
2021,Australia,3,Legal,Large,43018,3.01,98.1,84.2,45.16,Medium,49.79,-4.630000000000003,36.33,3
2022,Australia,3,Legal,Large,36502,2.78,99.0,94.5,56.6,High,45.16,11.440000000000005,42.26333333333333,4
2023,Australia,3,Legal,Large,41562,2.92,92.8,94.9,65.23,High,56.6,8.630000000000003,50.51666666666666,5
2024,Australia,3,Legal,Large,44266,2.76,99.0,85.2,78.77,High,65.23,13.539999999999992,55.663333333333334,6
2025,Australia,3,Legal,Large,16924,2.88,91.5,76.1,79.48,High,78.77,0.710000000000008,66.86666666666667,7
2018,Australia,3,Legal,Medium,107,2.71,91.3,80.2,15.63,Low,15.63,0.0,15.63,0
2019,Australia,3,Legal,Medium,914,2.64,86.1,58.9,34.69,Medium,15.63,19.059999999999995,15.63,1
2020,Australia,3,Legal,Medium,387,2.28,97.4,97.2,32.68,Medium,34.69,-2.009999999999998,25.16,2
2021,Australia,3,Legal,Medium,414,2.35,99.0,100.0,38.43,Medium,32.68,5.75,27.666666666666668,3
2022,Australia,3,Legal,Medium,212,1.98,99.0,92.7,37.82,Medium,38.43,-0.6099999999999994,35.26666666666667,4
2023,Australia,3,Legal,Medium,290,2.74,99.0,97.6,53.79,Medium,37.82,15.969999999999999,36.31,5
2024,Australia,3,Legal,Medium,843,3.11,96.1,78.3,59.06,High,53.79,5.270000000000003,43.346666666666664,6
2025,Australia,3,Legal,Medium,450,2.46,95.1,67.9,71.26,High,59.06,12.200000000000003,50.22333333333333,7
2018,Australia,3,Legal,Small,26,2.18,99.0,86.5,5.91,Low,5.91,0.0,5.91,0
2019,Australia,3,Legal,Small,65,2.57,99.0,99.5,5.1,Low,5.91,-0.8100000000000005,5.91,1
2020,Australia,3,Legal,Small,96,2.59,99.0,80.3,19.67,Low,5.1,14.570000000000002,5.505,2
2021,Australia,3,Legal,Small,26,2.81,95.2,84.1,21.49,Low,19.67,1.8199999999999967,10.226666666666667,3
2022,Australia,3,Legal,Small,96,2.51,99.0,68.4,33.39,Medium,21.49,11.900000000000002,15.42,4
2023,Australia,3,Legal,Small,13,2.46,90.4,100.0,43.41,Medium,33.39,10.019999999999996,24.849999999999998,5
2024,Australia,3,Legal,Small,11,2.45,92.7,100.0,52.59,Medium,43.41,9.180000000000007,32.76333333333333,6
2025,Australia,3,Legal,Small,34,2.94,98.0,92.8,56.67,High,52.59,4.079999999999998,43.129999999999995,7
2018,Australia,3,Manufacturing,Large,10476,2.91,99.0,100.0,38.16,Medium,38.16,0.0,38.16,0
2019,Australia,3,Manufacturing,Large,34991,3.17,99.0,83.7,45.91,Medium,38.16,7.75,38.16,1
2020,Australia,3,Manufacturing,Large,44518,2.4,90.5,85.5,51.61,Medium,45.91,5.700000000000003,42.035,2
2021,Australia,3,Manufacturing,Large,33567,2.66,99.0,93.6,60.49,High,51.61,8.880000000000003,45.22666666666667,3
2022,Australia,3,Manufacturing,Large,24442,2.65,99.0,100.0,70.24,High,60.49,9.749999999999993,52.669999999999995,4
2023,Australia,3,Manufacturing,Large,21386,2.87,90.5,100.0,75.8,High,70.24,5.560000000000002,60.78,5
2024,Australia,3,Manufacturing,Large,10965,2.82,99.0,89.1,86.92,High,75.8,11.120000000000005,68.84333333333335,6
2025,Australia,3,Manufacturing,Large,3393,3.18,99.0,80.8,97.0,High,86.92,10.079999999999998,77.65333333333334,7
2018,Australia,3,Manufacturing,Medium,646,2.55,99.0,97.8,26.89,Low,26.89,0.0,26.89,0
2019,Australia,3,Manufacturing,Medium,722,2.81,89.5,92.9,37.6,Medium,26.89,10.71,26.89,1
2020,Australia,3,Manufacturing,Medium,176,3.05,99.0,83.5,43.93,Medium,37.6,6.329999999999998,32.245000000000005,2
2021,Australia,3,Manufacturing,Medium,974,2.16,99.0,98.1,46.39,Medium,43.93,2.460000000000001,36.14,3
2022,Australia,3,Manufacturing,Medium,831,2.52,85.2,87.0,57.23,High,46.39,10.839999999999996,42.64,4
2023,Australia,3,Manufacturing,Medium,290,2.55,97.4,88.6,64.92,High,57.23,7.690000000000005,49.18333333333333,5
2024,Australia,3,Manufacturing,Medium,238,2.71,94.0,81.7,66.1,High,64.92,1.1799999999999926,56.18000000000001,6
2025,Australia,3,Manufacturing,Medium,330,2.77,99.0,84.7,79.39,High,66.1,13.290000000000006,62.75,7
2018,Australia,3,Manufacturing,Small,9,2.75,97.1,86.7,19.35,Low,19.35,0.0,19.35,0
2019,Australia,3,Manufacturing,Small,86,2.69,99.0,66.3,24.88,Low,19.35,5.529999999999998,19.35,1
2020,Australia,3,Manufacturing,Small,75,2.61,97.4,100.0,27.24,Low,24.88,2.3599999999999994,22.115000000000002,2
2021,Australia,3,Manufacturing,Small,68,2.69,99.0,84.0,34.67,Medium,27.24,7.430000000000003,23.823333333333334,3
2022,Australia,3,Manufacturing,Small,94,2.63,99.0,92.6,39.19,Medium,34.67,4.519999999999996,28.929999999999996,4
2023,Australia,3,Manufacturing,Small,40,3.03,97.6,73.0,62.44,High,39.19,23.25,33.699999999999996,5
2024,Australia,3,Manufacturing,Small,92,3.13,87.8,87.2,61.45,High,62.44,-0.9899999999999949,45.43333333333333,6
2025,Australia,3,Manufacturing,Small,20,2.01,99.0,95.7,61.82,High,61.45,0.36999999999999744,54.36000000000001,7
2018,Australia,3,Media & Entertainment,Large,43087,2.56,99.0,96.4,46.14,Medium,46.14,0.0,46.14,0
2019,Australia,3,Media & Entertainment,Large,20476,2.16,91.3,88.8,57.13,High,46.14,10.990000000000002,46.14,1
2020,Australia,3,Media & Entertainment,Large,42920,2.39,99.0,94.2,63.43,High,57.13,6.299999999999997,51.635000000000005,2
2021,Australia,3,Media & Entertainment,Large,40413,2.67,98.1,100.0,65.4,High,63.43,1.970000000000006,55.56666666666666,3
2022,Australia,3,Media & Entertainment,Large,15328,1.87,99.0,74.3,74.97,High,65.4,9.569999999999993,61.98666666666667,4
2023,Australia,3,Media & Entertainment,Large,11747,2.73,90.0,84.8,80.19,High,74.97,5.219999999999999,67.93333333333334,5
2024,Australia,3,Media & Entertainment,Large,35405,2.0,86.1,86.5,97.0,High,80.19,16.810000000000002,73.52,6
2025,Australia,3,Media & Entertainment,Large,19060,2.55,96.5,87.8,90.05,High,97.0,-6.950000000000003,84.05333333333333,7
2018,Australia,3,Media & Entertainment,Medium,205,2.77,98.5,89.7,27.14,Low,27.14,0.0,27.14,0
2019,Australia,3,Media & Entertainment,Medium,559,2.07,97.2,98.1,21.97,Low,27.14,-5.170000000000002,27.14,1
2020,Australia,3,Media & Entertainment,Medium,754,2.71,99.0,100.0,41.41,Medium,21.97,19.439999999999998,24.555,2
2021,Australia,3,Media & Entertainment,Medium,474,2.29,99.0,79.1,50.19,Medium,41.41,8.780000000000001,30.173333333333332,3
2022,Australia,3,Media & Entertainment,Medium,460,2.86,99.0,81.0,55.48,High,50.19,5.289999999999999,37.85666666666666,4
2023,Australia,3,Media & Entertainment,Medium,659,2.67,99.0,96.0,60.06,High,55.48,4.580000000000005,49.026666666666664,5
2024,Australia,3,Media & Entertainment,Medium,750,2.12,99.0,81.0,79.75,High,60.06,19.689999999999998,55.24333333333333,6
2025,Australia,3,Media & Entertainment,Medium,138,2.84,98.5,72.2,84.34,High,79.75,4.590000000000003,65.09666666666666,7
2018,Australia,3,Media & Entertainment,Small,14,2.38,95.8,77.5,12.49,Low,12.49,0.0,12.49,0
2019,Australia,3,Media & Entertainment,Small,71,3.04,99.0,84.8,24.53,Low,12.49,12.040000000000001,12.49,1
2020,Australia,3,Media & Entertainment,Small,92,2.69,95.0,95.4,35.23,Medium,24.53,10.699999999999996,18.51,2
2021,Australia,3,Media & Entertainment,Small,24,2.41,99.0,89.2,38.72,Medium,35.23,3.490000000000002,24.083333333333332,3
