country,industry,company_size,year,predicted_adoption_rate
China,Automotive,Large,2026,97.04
China,Automotive,Medium,2026,82.62
China,Automotive,Small,2026,84.24
China,Education,Large,2026,99.5
China,Education,Medium,2026,62.58
China,Education,Small,2026,67.81
China,Financial Services,Large,2026,97.01
China,Financial Services,Medium,2026,87.62
China,Financial Services,Small,2026,82.25
China,Gaming,Large,2026,96.98
China,Gaming,Medium,2026,97.32
China,Gaming,Small,2026,72.18
China,Government,Large,2026,69.61
China,Government,Medium,2026,69.62
China,Government,Small,2026,76.03
China,Healthcare,Large,2026,96.96
China,Healthcare,Medium,2026,97.91
China,Healthcare,Small,2026,87.61
China,Legal,Large,2026,97.66
China,Legal,Medium,2026,85.78
China,Legal,Small,2026,62.32
China,Manufacturing,Large,2026,97.03
China,Manufacturing,Medium,2026,93.02
China,Manufacturing,Small,2026,78.97
China,Media & Entertainment,Large,2026,97.39
China,Media & Entertainment,Medium,2026,98.52
China,Media & Entertainment,Small,2026,63.78
China,Retail,Large,2026,97.34
China,Retail,Medium,2026,90.53
China,Retail,Small,2026,83.39
China,Technology,Large,2026,97.02
China,Technology,Medium,2026,96.91
China,Technology,Small,2026,84.82
Egypt,Agriculture,Large,2026,73.83
Egypt,Agriculture,Medium,2026,63.01
Egypt,Agriculture,Small,2026,69.66
Egypt,Automotive,Large,2026,86.33
Egypt,Automotive,Medium,2026,66.95
Egypt,Automotive,Small,2026,74.58
Egypt,Education,Large,2026,88.81
Egypt,Education,Medium,2026,83.02
Egypt,Education,Small,2026,41.94
Egypt,Financial Services,Large,2026,76.93
Egypt,Financial Services,Medium,2026,65.53
Egypt,Financial Services,Small,2026,51.62
Egypt,Gaming,Large,2026,99.5
Egypt,Gaming,Medium,2026,97.96
Egypt,Gaming,Small,2026,65.23
Egypt,Government,Large,2026,52.85
Egypt,Government,Medium,2026,51.67
Egypt,Government,Small,2026,69.9
Egypt,Healthcare,Large,2026,74.09
Egypt,Healthcare,Medium,2026,86.6
Egypt,Healthcare,Small,2026,60.82
Egypt,Legal,Large,2026,89.19
Egypt,Legal,Medium,2026,72.02
Egypt,Legal,Small,2026,56.56
Egypt,Manufacturing,Large,2026,90.73
Egypt,Manufacturing,Medium,2026,66.34
Egypt,Manufacturing,Small,2026,63.98
Egypt,Media & Entertainment,Large,2026,89.21
Egypt,Media & Entertainment,Medium,2026,71.51
Egypt,Media & Entertainment,Small,2026,57.96
Egypt,Retail,Large,2026,89.48
Egypt,Retail,Medium,2026,58.91
Egypt,Retail,Small,2026,46.23
Egypt,Technology,Large,2026,93.68
Egypt,Technology,Medium,2026,97.75
Egypt,Technology,Small,2026,66.53
France,Agriculture,Large,2026,69.39
France,Agriculture,Medium,2026,81.55
France,Agriculture,Small,2026,56.32
France,Automotive,Large,2026,97.02
France,Automotive,Medium,2026,98.89
France,Automotive,Small,2026,79.73
France,Education,Large,2026,94.39
France,Education,Medium,2026,80.66
France,Education,Small,2026,59.12
France,Financial Services,Large,2026,96.95
France,Financial Services,Medium,2026,79.91
France,Financial Services,Small,2026,84.87
France,Gaming,Large,2026,97.07
France,Gaming,Medium,2026,92.03
France,Gaming,Small,2026,72.49
France,Government,Large,2026,99.5
France,Government,Medium,2026,93.68
France,Government,Small,2026,65.4
France,Healthcare,Large,2026,97.01
France,Healthcare,Medium,2026,96.78
France,Healthcare,Small,2026,70.39
France,Legal,Large,2026,93.66
France,Legal,Medium,2026,64.14
France,Legal,Small,2026,49.49
France,Manufacturing,Large,2026,96.99
France,Manufacturing,Medium,2026,91.07
France,Manufacturing,Small,2026,74.81
France,Media & Entertainment,Large,2026,96.25
France,Media & Entertainment,Medium,2026,78.44
France,Media & Entertainment,Small,2026,62.45
France,Retail,Large,2026,98.01
France,Retail,Medium,2026,76.97
France,Retail,Small,2026,62.27
France,Technology,Large,2026,97.06
France,Technology,Medium,2026,97.16
France,Technology,Small,2026,93.65
Germany,Agriculture,Large,2026,88.95
Germany,Agriculture,Medium,2026,82.31
Germany,Agriculture,Small,2026,66.37
Germany,Automotive,Large,2026,96.99
Germany,Automotive,Medium,2026,97.31
Germany,Automotive,Small,2026,71.32
Germany,Education,Large,2026,98.25
Germany,Education,Medium,2026,72.92
Germany,Education,Small,2026,69.78
Germany,Financial Services,Large,2026,97.08
Germany,Financial Services,Medium,2026,99.4
Germany,Financial Services,Small,2026,71.7
Germany,Gaming,Large,2026,97.12
Germany,Gaming,Medium,2026,97.17
Germany,Gaming,Small,2026,95.09
Germany,Government,Large,2026,97.71
Germany,Government,Medium,2026,66.74
Germany,Government,Small,2026,55.4
Germany,Healthcare,Large,2026,97.05
Germany,Healthcare,Medium,2026,97.75
Germany,Healthcare,Small,2026,71.38
Germany,Legal,Large,2026,99.5
Germany,Legal,Medium,2026,71.77
Germany,Legal,Small,2026,56.44
Germany,Manufacturing,Large,2026,97.15
Germany,Manufacturing,Medium,2026,94.88
Germany,Manufacturing,Small,2026,86.79
Germany,Media & Entertainment,Large,2026,96.97
Germany,Media & Entertainment,Medium,2026,94.11
Germany,Media & Entertainment,Small,2026,69.01
Germany,Retail,Large,2026,97.66
Germany,Retail,Medium,2026,98.02
Germany,Retail,Small,2026,87.83
Germany,Technology,Large,2026,97.11
Germany,Technology,Medium,2026,97.07
Germany,Technology,Small,2026,86.06
India,Agriculture,Large,2026,71.15
India,Agriculture,Medium,2026,47.2
India,Agriculture,Small,2026,58.96
India,Automotive,Large,2026,97.2
India,Automotive,Medium,2026,90.71
India,Automotive,Small,2026,68.08
India,Education,Large,2026,99.5
India,Education,Medium,2026,62.95
India,Education,Small,2026,67.35
India,Financial Services,Large,2026,97.02
India,Financial Services,Medium,2026,81.2
India,Financial Services,Small,2026,68.15
India,Gaming,Large,2026,97.77
India,Gaming,Medium,2026,89.87
India,Gaming,Small,2026,82.46
India,Government,Large,2026,92.39
India,Government,Medium,2026,47.2
India,Government,Small,2026,48.45
India,Healthcare,Large,2026,97.49
India,Healthcare,Medium,2026,83.07
India,Healthcare,Small,2026,72.01
India,Legal,Large,2026,87.08
India,Legal,Medium,2026,69.0
India,Legal,Small,2026,65.83
India,Manufacturing,Large,2026,91.35
India,Manufacturing,Medium,2026,86.41
India,Manufacturing,Small,2026,58.19
India,Media & Entertainment,Large,2026,97.79
India,Media & Entertainment,Medium,2026,71.37
India,Media & Entertainment,Small,2026,57.17
India,Retail,Large,2026,90.63
India,Retail,Medium,2026,91.85
India,Retail,Small,2026,67.7
India,Technology,Large,2026,97.01
India,Technology,Medium,2026,89.04
India,Technology,Small,2026,71.3
Israel,Agriculture,Large,2026,90.27
Israel,Agriculture,Medium,2026,67.71
Israel,Agriculture,Small,2026,69.38
Israel,Automotive,Large,2026,97.0
Israel,Automotive,Medium,2026,97.11
Israel,Automotive,Small,2026,99.5
Israel,Education,Large,2026,96.66
Israel,Education,Medium,2026,97.55
Israel,Education,Small,2026,85.69
Israel,Financial Services,Large,2026,97.05
Israel,Financial Services,Medium,2026,97.05
Israel,Financial Services,Small,2026,97.87
Israel,Gaming,Large,2026,96.99
Israel,Gaming,Medium,2026,97.01
Israel,Gaming,Small,2026,99.42
Israel,Government,Large,2026,99.4
Israel,Government,Medium,2026,99.3
Israel,Government,Small,2026,81.39
Israel,Healthcare,Large,2026,97.05
Israel,Healthcare,Medium,2026,97.0
Israel,Healthcare,Small,2026,93.79
Israel,Legal,Large,2026,97.78
Israel,Legal,Medium,2026,90.46
Israel,Legal,Small,2026,90.05
Israel,Manufacturing,Large,2026,97.12
Israel,Manufacturing,Medium,2026,97.02
Israel,Manufacturing,Small,2026,81.66
Israel,Media & Entertainment,Large,2026,97.03
Israel,Media & Entertainment,Medium,2026,97.33
Israel,Media & Entertainment,Small,2026,94.02
Israel,Retail,Large,2026,96.99
Israel,Retail,Medium,2026,98.82
Israel,Retail,Small,2026,71.61
Israel,Technology,Large,2026,97.01
Israel,Technology,Medium,2026,96.99
Israel,Technology,Small,2026,93.89
Japan,Agriculture,Large,2026,89.34
Japan,Agriculture,Medium,2026,70.25
Japan,Agriculture,Small,2026,62.98
Japan,Automotive,Large,2026,97.57
Japan,Automotive,Medium,2026,99.12
Japan,Automotive,Small,2026,69.04
Japan,Education,Large,2026,86.56
Japan,Education,Medium,2026,90.17
Japan,Education,Small,2026,77.4
Japan,Financial Services,Large,2026,96.93
Japan,Financial Services,Medium,2026,94.37
Japan,Financial Services,Small,2026,73.25
Japan,Gaming,Large,2026,96.99
Japan,Gaming,Medium,2026,98.47
Japan,Gaming,Small,2026,77.28
Japan,Government,Large,2026,92.89
Japan,Government,Medium,2026,65.07
Japan,Government,Small,2026,68.83
Japan,Healthcare,Large,2026,97.09
Japan,Healthcare,Medium,2026,88.3
Japan,Healthcare,Small,2026,77.51
Japan,Legal,Large,2026,74.33
Japan,Legal,Medium,2026,77.9
Japan,Legal,Small,2026,47.96
Japan,Manufacturing,Large,2026,97.09
Japan,Manufacturing,Medium,2026,78.79
Japan,Manufacturing,Small,2026,82.19
Japan,Media & Entertainment,Large,2026,96.32
Japan,Media & Entertainment,Medium,2026,80.99
Japan,Media & Entertainment,Small,2026,73.81
Japan,Retail,Large,2026,97.44
Japan,Retail,Medium,2026,81.41
Japan,Retail,Small,2026,75.79
Japan,Technology,Large,2026,97.02
Japan,Technology,Medium,2026,97.38
Japan,Technology,Small,2026,98.17
Mexico,Agriculture,Large,2026,51.64
Mexico,Agriculture,Medium,2026,34.96
Mexico,Agriculture,Small,2026,64.64
Mexico,Automotive,Large,2026,98.74
Mexico,Automotive,Medium,2026,73.2
Mexico,Automotive,Small,2026,57.06
Mexico,Education,Large,2026,84.87
Mexico,Education,Medium,2026,85.79
Mexico,Education,Small,2026,51.38
Mexico,Financial Services,Large,2026,96.85
Mexico,Financial Services,Medium,2026,91.48
Mexico,Financial Services,Small,2026,75.76
Mexico,Gaming,Large,2026,97.13
Mexico,Gaming,Medium,2026,82.68
Mexico,Gaming,Small,2026,68.28
Mexico,Government,Large,2026,74.04
Mexico,Government,Medium,2026,88.35
Mexico,Government,Small,2026,71.25
Mexico,Healthcare,Large,2026,82.61
Mexico,Healthcare,Medium,2026,62.22
Mexico,Healthcare,Small,2026,56.62
Mexico,Legal,Large,2026,89.99
Mexico,Legal,Medium,2026,55.32
Mexico,Legal,Small,2026,55.24
Mexico,Manufacturing,Large,2026,86.12
Mexico,Manufacturing,Medium,2026,66.77
Mexico,Manufacturing,Small,2026,78.25
Mexico,Media & Entertainment,Large,2026,92.43
Mexico,Media & Entertainment,Medium,2026,79.46
Mexico,Media & Entertainment,Small,2026,85.13
Mexico,Retail,Large,2026,64.78
Mexico,Retail,Medium,2026,77.24
Mexico,Retail,Small,2026,41.05
Mexico,Technology,Large,2026,97.73
Mexico,Technology,Medium,2026,78.74
Mexico,Technology,Small,2026,54.11
Morocco,Agriculture,Large,2026,41.06
Morocco,Agriculture,Medium,2026,35.05
Morocco,Agriculture,Small,2026,40.1
Morocco,Automotive,Large,2026,74.64
Morocco,Automotive,Medium,2026,67.58
Morocco,Automotive,Small,2026,42.37
Morocco,Education,Large,2026,55.22
Morocco,Education,Medium,2026,61.6
Morocco,Education,Small,2026,49.11
Morocco,Financial Services,Large,2026,68.96
Morocco,Financial Services,Medium,2026,58.98
Morocco,Financial Services,Small,2026,69.98
Morocco,Gaming,Large,2026,77.26
Morocco,Gaming,Medium,2026,81.22
Morocco,Gaming,Small,2026,68.63
Morocco,Government,Large,2026,66.04
Morocco,Government,Medium,2026,55.83
Morocco,Government,Small,2026,59.02
Morocco,Healthcare,Large,2026,80.44
Morocco,Healthcare,Medium,2026,70.71
Morocco,Healthcare,Small,2026,56.45
Morocco,Legal,Large,2026,69.37
Morocco,Legal,Medium,2026,65.31
Morocco,Legal,Small,2026,50.11
Morocco,Manufacturing,Large,2026,69.92
Morocco,Manufacturing,Medium,2026,56.89
Morocco,Manufacturing,Small,2026,86.13
Morocco,Media & Entertainment,Large,2026,75.3
Morocco,Media & Entertainment,Medium,2026,65.36
Morocco,Media & Entertainment,Small,2026,55.14
Morocco,Retail,Large,2026,53.06
Morocco,Retail,Medium,2026,52.71
Morocco,Retail,Small,2026,68.76
Morocco,Technology,Large,2026,87.68
Morocco,Technology,Medium,2026,65.31
Morocco,Technology,Small,2026,45.56
Netherlands,Agriculture,Large,2026,66.39
Netherlands,Agriculture,Medium,2026,58.29
Netherlands,Agriculture,Small,2026,83.87
Netherlands,Automotive,Large,2026,97.01
Netherlands,Automotive,Medium,2026,99.5
Netherlands,Automotive,Small,2026,92.73
Netherlands,Education,Large,2026,94.89
Netherlands,Education,Medium,2026,94.27
Netherlands,Education,Small,2026,89.05
Netherlands,Financial Services,Large,2026,96.97
Netherlands,Financial Services,Medium,2026,97.06
Netherlands,Financial Services,Small,2026,94.13
Netherlands,Gaming,Large,2026,97.06
Netherlands,Gaming,Medium,2026,99.17
Netherlands,Gaming,Small,2026,87.91
Netherlands,Government,Large,2026,95.57
Netherlands,Government,Medium,2026,65.29
Netherlands,Government,Small,2026,65.8
Netherlands,Healthcare,Large,2026,96.92
Netherlands,Healthcare,Medium,2026,88.43
Netherlands,Healthcare,Small,2026,76.79
Netherlands,Legal,Large,2026,98.4
Netherlands,Legal,Medium,2026,90.71
Netherlands,Legal,Small,2026,71.13
Netherlands,Manufacturing,Large,2026,97.05
Netherlands,Manufacturing,Medium,2026,99.5
Netherlands,Manufacturing,Small,2026,96.69
Netherlands,Media & Entertainment,Large,2026,96.98
Netherlands,Media & Entertainment,Medium,2026,90.71
Netherlands,Media & Entertainment,Small,2026,70.31
Netherlands,Retail,Large,2026,97.1
Netherlands,Retail,Medium,2026,81.86
Netherlands,Retail,Small,2026,99.02
Netherlands,Technology,Large,2026,97.0
Netherlands,Technology,Medium,2026,97.05
Netherlands,Technology,Small,2026,96.56
Nigeria,Agriculture,Large,2026,59.23
Nigeria,Agriculture,Medium,2026,63.04
Nigeria,Agriculture,Small,2026,49.63
Nigeria,Automotive,Large,2026,81.89
Nigeria,Automotive,Medium,2026,85.95
Nigeria,Automotive,Small,2026,79.2
Nigeria,Education,Large,2026,71.13
Nigeria,Education,Medium,2026,83.8
Nigeria,Education,Small,2026,49.27
Nigeria,Financial Services,Large,2026,85.18
Nigeria,Financial Services,Medium,2026,40.02
Nigeria,Financial Services,Small,2026,50.72
Nigeria,Gaming,Large,2026,90.73
Nigeria,Gaming,Medium,2026,85.31
Nigeria,Gaming,Small,2026,45.84
Nigeria,Government,Large,2026,69.52
Nigeria,Government,Medium,2026,68.79
Nigeria,Government,Small,2026,52.95
Nigeria,Healthcare,Large,2026,77.26
Nigeria,Healthcare,Medium,2026,67.76
Nigeria,Healthcare,Small,2026,73.88
Nigeria,Legal,Large,2026,72.38
Nigeria,Legal,Medium,2026,57.15
Nigeria,Legal,Small,2026,47.41
Nigeria,Manufacturing,Large,2026,77.94
Nigeria,Manufacturing,Medium,2026,65.86
Nigeria,Manufacturing,Small,2026,67.7
Nigeria,Media & Entertainment,Large,2026,88.21
Nigeria,Media & Entertainment,Medium,2026,60.0
Nigeria,Media & Entertainment,Small,2026,73.17
Nigeria,Retail,Large,2026,59.88
Nigeria,Retail,Medium,2026,46.75
Nigeria,Retail,Small,2026,53.68
Nigeria,Technology,Large,2026,78.69
Nigeria,Technology,Medium,2026,80.99
Nigeria,Technology,Small,2026,56.42
Singapore,Agriculture,Large,2026,73.48
Singapore,Agriculture,Medium,2026,62.38
Singapore,Agriculture,Small,2026,67.11
Singapore,Automotive,Large,2026,96.98
Singapore,Automotive,Medium,2026,97.32
Singapore,Automotive,Small,2026,71.27
Singapore,Education,Large,2026,99.41
Singapore,Education,Medium,2026,92.21
Singapore,Education,Small,2026,79.92
Singapore,Financial Services,Large,2026,96.96
Singapore,Financial Services,Medium,2026,97.01
Singapore,Financial Services,Small,2026,90.76
Singapore,Gaming,Large,2026,96.99
Singapore,Gaming,Medium,2026,91.85
Singapore,Gaming,Small,2026,85.75
Singapore,Government,Large,2026,99.5
Singapore,Government,Medium,2026,92.68
Singapore,Government,Small,2026,68.96
Singapore,Healthcare,Large,2026,97.01
Singapore,Healthcare,Medium,2026,99.23
Singapore,Healthcare,Small,2026,83.72
Singapore,Legal,Large,2026,98.86
Singapore,Legal,Medium,2026,88.97
Singapore,Legal,Small,2026,82.58
Singapore,Manufacturing,Large,2026,97.0
Singapore,Manufacturing,Medium,2026,99.28
Singapore,Manufacturing,Small,2026,87.1
Singapore,Media & Entertainment,Large,2026,97.06
Singapore,Media & Entertainment,Medium,2026,99.5
Singapore,Media & Entertainment,Small,2026,94.76
Singapore,Retail,Large,2026,97.57
Singapore,Retail,Medium,2026,99.5
Singapore,Retail,Small,2026,72.34
Singapore,Technology,Large,2026,97.07
Singapore,Technology,Medium,2026,96.98
Singapore,Technology,Small,2026,81.92
South Africa,Agriculture,Large,2026,68.69
South Africa,Agriculture,Medium,2026,57.53
South Africa,Agriculture,Small,2026,51.55
South Africa,Automotive,Large,2026,69.54
South Africa,Automotive,Medium,2026,96.65
South Africa,Automotive,Small,2026,81.2
South Africa,Education,Large,2026,69.49
South Africa,Education,Medium,2026,33.15
South Africa,Education,Small,2026,57.68
South Africa,Financial Services,Large,2026,93.22
South Africa,Financial Services,Medium,2026,93.63
South Africa,Financial Services,Small,2026,44.49
South Africa,Gaming,Large,2026,89.33
South Africa,Gaming,Medium,2026,91.99
South Africa,Gaming,Small,2026,96.08
South Africa,Government,Large,2026,52.87
South Africa,Government,Medium,2026,57.77
South Africa,Government,Small,2026,55.92
South Africa,Healthcare,Large,2026,69.59
South Africa,Healthcare,Medium,2026,75.77
South Africa,Healthcare,Small,2026,64.1
South Africa,Legal,Large,2026,77.96
South Africa,Legal,Medium,2026,47.45
South Africa,Legal,Small,2026,32.64
South Africa,Manufacturing,Large,2026,98.42
South Africa,Manufacturing,Medium,2026,77.78
South Africa,Manufacturing,Small,2026,83.0
South Africa,Media & Entertainment,Large,2026,97.6
South Africa,Media & Entertainment,Medium,2026,74.58
South Africa,Media & Entertainment,Small,2026,66.54
South Africa,Retail,Large,2026,98.48
South Africa,Retail,Medium,2026,74.18
South Africa,Retail,Small,2026,79.69
South Africa,Technology,Large,2026,99.5
South Africa,Technology,Medium,2026,95.22
South Africa,Technology,Small,2026,60.37
South Korea,Agriculture,Large,2026,68.97
South Korea,Agriculture,Medium,2026,63.49
South Korea,Agriculture,Small,2026,59.87
South Korea,Automotive,Large,2026,96.98
South Korea,Automotive,Medium,2026,93.91
South Korea,Automotive,Small,2026,72.72
South Korea,Education,Large,2026,97.31
South Korea,Education,Medium,2026,94.78
South Korea,Education,Small,2026,56.6
South Korea,Financial Services,Large,2026,97.01
South Korea,Financial Services,Medium,2026,98.45
South Korea,Financial Services,Small,2026,69.07
South Korea,Gaming,Large,2026,97.01
South Korea,Gaming,Medium,2026,91.54
South Korea,Gaming,Small,2026,79.0
South Korea,Government,Large,2026,76.9
South Korea,Government,Medium,2026,83.55
South Korea,Government,Small,2026,64.76
South Korea,Healthcare,Large,2026,97.03
South Korea,Healthcare,Medium,2026,96.27
South Korea,Healthcare,Small,2026,81.48
South Korea,Legal,Large,2026,97.78
South Korea,Legal,Medium,2026,62.34
South Korea,Legal,Small,2026,67.72
South Korea,Manufacturing,Large,2026,97.01
South Korea,Manufacturing,Medium,2026,96.17
South Korea,Manufacturing,Small,2026,67.69
South Korea,Media & Entertainment,Large,2026,97.02
South Korea,Media & Entertainment,Medium,2026,97.59
South Korea,Media & Entertainment,Small,2026,92.78
South Korea,Retail,Large,2026,97.4
South Korea,Retail,Medium,2026,94.15
South Korea,Retail,Small,2026,64.75
South Korea,Technology,Large,2026,97.04
South Korea,Technology,Medium,2026,99.14
South Korea,Technology,Small,2026,98.61
Sweden,Agriculture,Large,2026,84.59
Sweden,Agriculture,Medium,2026,57.81
Sweden,Agriculture,Small,2026,44.96
Sweden,Automotive,Large,2026,97.01
Sweden,Automotive,Medium,2026,97.39
Sweden,Automotive,Small,2026,94.72
Sweden,Education,Large,2026,94.26
Sweden,Education,Medium,2026,88.79
Sweden,Education,Small,2026,61.46
Sweden,Financial Services,Large,2026,97.01
Sweden,Financial Services,Medium,2026,92.93
Sweden,Financial Services,Small,2026,95.52
Sweden,Gaming,Large,2026,96.94
Sweden,Gaming,Medium,2026,97.01
Sweden,Gaming,Small,2026,94.76
Sweden,Government,Large,2026,92.41
Sweden,Government,Medium,2026,68.02
Sweden,Government,Small,2026,69.75
Sweden,Healthcare,Large,2026,97.03
Sweden,Healthcare,Medium,2026,97.33
Sweden,Healthcare,Small,2026,96.96
Sweden,Legal,Large,2026,99.5
Sweden,Legal,Medium,2026,99.13
Sweden,Legal,Small,2026,58.02
Sweden,Manufacturing,Large,2026,97.05
Sweden,Manufacturing,Medium,2026,99.5
Sweden,Manufacturing,Small,2026,71.33
Sweden,Media & Entertainment,Large,2026,97.01
Sweden,Media & Entertainment,Medium,2026,87.66
Sweden,Media & Entertainment,Small,2026,73.67
Sweden,Retail,Large,2026,97.13
Sweden,Retail,Medium,2026,97.21
Sweden,Retail,Small,2026,99.19
Sweden,Technology,Large,2026,97.0
Sweden,Technology,Medium,2026,97.06
Sweden,Technology,Small,2026,88.54
United Kingdom,Agriculture,Large,2026,78.64
United Kingdom,Agriculture,Medium,2026,73.68
United Kingdom,Agriculture,Small,2026,70.44
United Kingdom,Automotive,Large,2026,96.99
United Kingdom,Automotive,Medium,2026,96.89
United Kingdom,Automotive,Small,2026,94.03
United Kingdom,Education,Large,2026,99.5
United Kingdom,Education,Medium,2026,79.55
United Kingdom,Education,Small,2026,91.23
United Kingdom,Financial Services,Large,2026,97.03
United Kingdom,Financial Services,Medium,2026,97.4
United Kingdom,Financial Services,Small,2026,89.59
United Kingdom,Gaming,Large,2026,97.02
United Kingdom,Gaming,Medium,2026,97.05
United Kingdom,Gaming,Small,2026,89.44
United Kingdom,Government,Large,2026,99.5
United Kingdom,Government,Medium,2026,78.99
United Kingdom,Government,Small,2026,73.22
United Kingdom,Healthcare,Large,2026,96.98
United Kingdom,Healthcare,Medium,2026,97.65
United Kingdom,Healthcare,Small,2026,84.69
United Kingdom,Legal,Large,2026,77.65
United Kingdom,Legal,Medium,2026,78.93
United Kingdom,Legal,Small,2026,67.39
United Kingdom,Manufacturing,Large,2026,96.99
United Kingdom,Manufacturing,Medium,2026,94.52
United Kingdom,Manufacturing,Small,2026,80.83
United Kingdom,Media & Entertainment,Large,2026,97.01
United Kingdom,Media & Entertainment,Medium,2026,98.43
United Kingdom,Media & Entertainment,Small,2026,86.55
United Kingdom,Retail,Large,2026,96.95
United Kingdom,Retail,Medium,2026,98.84
United Kingdom,Retail,Small,2026,76.87
United Kingdom,Technology,Large,2026,97.04
United Kingdom,Technology,Medium,2026,86.24
United Kingdom,Technology,Small,2026,83.43
United States,Agriculture,Large,2026,95.38
United States,Agriculture,Medium,2026,77.22
United States,Agriculture,Small,2026,60.94
United States,Automotive,Large,2026,96.99
United States,Automotive,Medium,2026,93.65
United States,Automotive,Small,2026,94.22
United States,Education,Large,2026,97.61
United States,Education,Medium,2026,75.29
United States,Education,Small,2026,81.5
United States,Financial Services,Large,2026,96.96
United States,Financial Services,Medium,2026,97.37
United States,Financial Services,Small,2026,71.67
United States,Gaming,Large,2026,97.01
United States,Gaming,Medium,2026,97.46
United States,Gaming,Small,2026,93.75
United States,Government,Large,2026,99.27
